word,formal,lazy,keyer,usage,hint
happenings,^-h-\-a-p-n-s\--h,hapngs,,1744,happenings = hapngs (^-h-\-a-p-n-s\--h)  [4]
appliance,a-pl-i-n-s,aplins,,1758,appliance = aplins (a-pl-i-n-s)  [3]
appliances,a-pl-i-n-s-s,aplinss,,1758,appliances = aplinss (a-pl-i-n-s-s)  [3]
applicability,a-pl-e-k-\-b,aplekbo,o,1758,applicability = aplekbo (a-pl-e-k-\-b)  [6]
applicable,a-pl-e-k-b,aplekb,,1758,applicable = aplekb (a-pl-e-k-b)  [4]
applicably,a-pl-e-k-b-e,aplekbe,,1758,applicably = aplekbe (a-pl-e-k-b-e)  [3]
applies,a-pl-i-s,aplis,,1758,applies = aplis (a-pl-i-s)  [2]
applying,a-pl-i-\-h,aplig,,1758,applying = aplig (a-pl-i-\-h)  [3]
connect,k-e-k,keko,o,1770,connect = keko (k-e-k)  [3]
protecting,pr-o-t-e-k-\-h,protekg,,1802,protecting = protekg (pr-o-t-e-k-\-h)  [3]
protective,pr-o-t-e-k-v,protekv,,1802,protective = protekv (pr-o-t-e-k-v)  [3]
protector,pr-o-t-e-k-r,protekr,,1802,protector = protekr (pr-o-t-e-k-r)  [2]
protectorate,pr-o-t-e-k-r-a,protekra,,1802,protectorate = protekra (pr-o-t-e-k-r-a)  [4]
protectorates,pr-o-t-e-k-r-a-s,protekras,,1802,protectorates = protekras (pr-o-t-e-k-r-a-s)  [4]
protectors,pr-o-t-e-k-r-s,protekrs,,1802,protectors = protekrs (pr-o-t-e-k-r-s)  [2]
protects,pr-o-t-e-k-s,proteks,,1802,protects = proteks (pr-o-t-e-k-s)  [1]
coupled,k-u-pl-d,kupld,,1817,coupled = kupld (k-u-pl-d)  [2]
couples,k-u-pl-s,kupls,,1817,couples = kupls (k-u-pl-s)  [2]
coupling,k-u-pl-\-h,kuplg,,1817,coupling = kuplg (k-u-pl-\-h)  [3]
parent,p-a-r-e-nt,parento,o,1863,parent = parento (p-a-r-e-nt)  [-1]
parentage,p-a-r-e-nt-j,parentj,,1863,parentage = parentj (p-a-r-e-nt-j)  [2]
parental,p-a-r-e-nt-l,parentl,o,1863,parental = parentl (p-a-r-e-nt-l)  [1]
transparency,t-\-p-a-r-e-n-s-e,tparense,,1863,transparency = tparense (t-\-p-a-r-e-n-s-e)  [4]
transparent,t-\-p-a-r-e-nt,tparent,,1863,transparent = tparent (t-\-p-a-r-e-nt)  [4]
transparently,t-\-p-a-r-e-nt-e,tparente,,1863,transparently = tparente (t-\-p-a-r-e-nt-e)  [5]
controled,^-k-/-l-d,kld,,1869,controled = kld (^-k-/-l-d)  [6]
controlled,^-k-/-l-d,kld,,1869,controlled = kld (^-k-/-l-d)  [7]
controller,^-k-/-l-r,klr,,1869,controller = klr (^-k-/-l-r)  [7]
controlling,^-k-/-l-\-h,klg,,1869,controlling = klg (^-k-/-l-\-h)  [8]
controls,^-k-/-l-s,kls,,1869,controls = kls (^-k-/-l-s)  [5]
singer,s2-e-ng-e2,segeo,o,1922,singer = segeo (s2-e-ng-e2)  [1]
singers,s2-e-ng-e2-s,seges,,1922,singers = seges (s2-e-ng-e2-s)  [2]
