a-nt-l-r      antler
a-n-u-m       annum
a-n-u-t-u     annuity
a-o-t-a       aorta
a-p/o (o on side)  apology
a-p/o-i-s (o on side)  apologize
a-p/o-k       apologetic
a-p-ea-r-e    apiary
a-p-e-l       appeal
a-p-e-l-a     appellate
a-p-e-l-s     appeals
a-p-e-t-r (e2)  aperture
a-p-k-l-e-p-s  apocalypse
a-p-k-o-p-e   apocope
a-p-k-r-f-a   apocrypha
a-p-l         apple
a-p-l/b (intersected)  application blank
a-p-l-e-k-nt  applicant
a-p-l-i       apply
a-p-l-i-d     applied
a-p-l-s       apples
a-p-l-sh      application
a-p-n-j       appanage
a-p-o-s       appositive
a-p-o-s-t-l-k  apostolic
a-p-o-s-t-r-r-i  a posteriori
a-p-r         appear, April
a-p-r/t       appeared
a-p-r-a       appropriate (Expert)
a-p-r-a-b-l   appropriation bill (Expert)
a-p-r-ch      approach
a-p-r-e-nt    appehend
a-p-r-e-nt-e-s  apprentice
a-p-r-e-sh    appreciate, appreciation
a-p-r-e-sh/v  appreciative
a-p-r-l       apparel
a-p-r-n       apron
a-p-r-n-s     appearance
a-p-r-nt      apparent
a-p-r-o-p     appropriate (Cen.)
a-p-r-p-r-ea-t  appropriate
a-p-r-r-i     a priori
a-p-r-s-e     apperceive
a-p-r-v       approve
a-p-r-v-l     approval
a-p-r-x       approximate
a-p-t         apart
a-p-t/m (intersected)  assistant passenger traffic manager
a-p-t-e-t     aptitude
a-p-th-e-ss   apotheosis
a-p-t-i       appetite
a-p-t-m       apartment
a-r           Arkansas (Cen.), aware, heir, where, air
a-r-a         arrange, arrangement
a-r-a/t       arranged
a-r-a-b-s     whereabouts
a-r-a-mn      arraignment
a-r-a-s       arrangements
a-r-a-t       aerate
a-r-b         arable, arbitrary, whereby
a-r-b-t-r-a   arbitrate
a-r-b-t-r-a-m  arbitrament
a-r-b-t-r-j   arbitrage
a-r-b-t-u-s   arbutus
a-rd          yard (S90)
a-r-e-s       Arizona, arrest, heiress
a-r-e-s-t-o-k  aristocrat
a-r-e-th      arithmetic
a-r-e-v       wherever
a-r-i         arrival, arrive
a-r-i/t       arrived
a-r-i-s       arise
a-r-k         Arkansas
a-r-k-a-k     archaic
a-r-k-t-e-k   arctic
a-r-l         aerial
a-r-nt        around
a-r-o-g       arrogance, arrogant
a-r-s (s1)    whereas
a-r-th-r-i    arthritis
a-s           Arizona (Cen.), as, has
a-s/a         acetic, ascetic
a-s-b         has been
a-s-b-e-s     asbestos
a-s-b-tn      has been done
a-s-e-b-t-e   acerbity
a-s-e-m       assemble, assembly
a-s-e-m-j     assemblage
a-s-e-n       ascend
a-s-e-n/nt    asininity
a-s-e-n-e     assignee
a-s-e-n-r     assignor
a-s-e-nt      ascent
a-s-e-n-tn    ascendant
a-s-e-sh (s2)  assertion
a-s-e-t       as yet, asset
a-s-e-t-a     acetate
a-s-e-tn      ascertain
a-s-e-t-ss    asceticism
a-s-e-v-e-r-a  asseverate
a-s-f-o       as follows
a-sh/a        Asiatic
a-sh-a-mt     ashamed
a-sh-d-l-a-n-o  I should like to know
a-sh-d-l-a-v  I should like to have
a-sh-u        assure, azure
a-sh-u/t      assured
a-sh-u-n-s    assurance
a-s-i         aside
a-s-i-l-m     asylum
a-s-i-mn      assignment
a-s-i-nt      assigned
a-s-k-r       ascribe
a-s-l-e-p     asleep
a-s-m         assume
a-s-m/t       assumed
a-s-m-a-t-f (t-f blended)  as a matter of fact
a-s-m-a-t-o-k  as a matter of course
a-s-n-a-n-s   assonance
a-s-n-sh      Asuncion
a-s-o-sh      association
a-s-o-sh-t    associate
a-s-o-t-m     assortment
a-s-p-a-r-g   asparagus
a-s-p-i       aspire
a-s-p-k       aspect
a-s-p-r-a     aspirate
a-s-p-r-s     asperse
a-s-r (s1)    as a result (Expert)
a-s-r-l (s1)  as a rule
a-ss (a2)     assess
a-ss-n (a2)   assassin
a-s-th        as the
a-s-tn        has done
a-s-tn-sh     astonish
a-s-t-nt      astound
a-s-t-r-a     astray
a-s-t-r-o-n   astronomy
a-s-t-u       as to
a-s-u         as you
a-t           ate
a-t (a2)      art
a-t/k (a2)    article
a-t/s-t (a2)  artistic
a-t-a-k       attack
a-t-ch        attach
a-t-ch-k (a2)  artichoke
a-t-ch-m      attachment
a-td          added
a-t-e-k-a     assistant ticket agent
a-t-e-l (a2)  artillery
a-t-e-r-s-k-l-e-r-ss (a2)  arteriosclerosis
a-t-e-s (a2)  artist
a-t-e-t       attitude
a-t-f-e-sh (a2)  artificial
a-th-e-s-m    atheism
