"word","lazy","hint","formal","usage","keyer"
"alarm","","","a-l-a-m","",""
"Alaska","","","a-l-a-s-k","",""
"Alaska ","","","a-k","",""
"Albania","","","o-b-n-a","",""
"Albany","","","o-b-n-e","",""
"Alberta","","","a-l-b","",""
"alcohol","","","a-l-k-o-l","",""
"alderman","","","o-d-e-m-a-n","",""
"ale","","","a-l","",""
"algebra","","","a-l-j","",""
"Algeria","","","a-l-j","",""
"alibi","","","a-l-b-i","",""
"alien","","","a-l-e-n","",""
"alight","","","a-l-i","",""
"align","","","a-l-a-n","",""
"alike","","","a-l-a","",""
"alimony","","","a-l-e-mn-e","",""
"aliquot","","","a-l-e-k-w-o-t","",""
"alive","","","a-l-a-v","",""
"alkaloid","","","a-l-k-a-l-o-e","",""
"all","","","o2","",""
"all my time","","","o-m-a-tm","",""
"all over the world","","","o2-/-uu","",""
"all right","","","o-r-i","",""
"alliance","","","a-l-i-n-s","",""
"alliterate","","","a-l-e-t","",""
"alliteration","","","a-l-e-t-sh","",""
"allocate","","","a-l-o-k","",""
"allopathy","","","a-l-o-p-th-e","",""
"allow","","","a-l","",""
"allow us","","","a-l-s","",""
"allowable","","","a-l-b","",""
"allowance","","","a-l-n-s","",""
"allure","","","a-l-r","",""
"allusion","","","a-l-sh","",""
"almanac","","","o-mn-a-k","",""
"almond","","","a-mn-d","",""
"almost","","","o-m-o","",""
"alms","","","a-m-s","",""
"alone","","","a-l-o-n","",""
"along","","","a-l-ng","",""
"already","","","o-r-e","",""
"also","","","o-s-o","",""
"altar","","","o-t-e2","",""
"alter","","","o-t-e2","",""
"alter-","","","^-o2-/","",""
"altercation","","","o-t-e-k-sh","",""
"alternate","","","o-t-e-n-a-t","",""
"although","","","o-th-o","",""
"altitude","","","a-l-t-e-t","",""
"altogether","","","o-t-u","",""
"alum","","","a-l-m","",""
"aluminum","","","a-l-u-mn","",""
"alumni","","","a-l-m-n-i","",""
"always","","","o-l-s","",""
"am","","","m","",""
"amalgam","","","a-m-a-l","",""
"amalgamate","","","a-m-a-l","",""
"amanuensis","","","a-mn-u-n-ss","",""
"amatory","","","a-m-a-t-r-e","",""
"amazement","","","a-m-a-s-m","",""
"ambassador","","","a-m-b-a-s","",""
"ambient","","","a-m-b-e-nt","",""
"ambiguous","","","a-m-b-g","",""
"ambition","","","a-m-b","",""
"ambitious","","","a-m-b-e-sh","",""
"amble","","","a-m-b-l","",""
"ameliorate","","","a-m-e-l-r-a","",""
"amen","","","a-mn","",""
"amenable","","","a-mn-b","",""
"amend","","","a-mn","",""
"amendment","","","a-mn","",""
"amenity","","","a-m-/-nt","",""
"America","","","a-m","",""
"American","","","a-m-n","",""
"American people","","","a-m-p-e-p","",""
"amethyst","","","a-m-th-e-s","",""
"amiable","","","a-m-b","",""
"amidships","","","a-m-e-d-/-sh-s","",""
"Amish","","","a-m-sh","",""
"among","","","m-ng","",""
"amongst","","","m-ng-s","",""
"amortize","","","a-m-o-t-i-s","",""
"amount","","","a-mn-t","",""
"amount of money","","","a-mn-e","",""
"amounted","","","a-m-td","",""
"amounts of money","","","a-m-s-mn-e","",""
"amphibian","","","a-m-f-e-b-n","",""
"ample","","","a-m-p","",""
"amplifier","","","a-m-p-f-r","",""
"amplitude","","","a-m-p-t-u","",""
"amputate","","","a-m-p-u-t","",""
"amputation","","","a-m-p-u-sh","",""
"Amsterdam","","","a-m-s-t-e-tm","",""
"amuse","","","a-m-u-s","",""
"amusement","","","a-m-u-s-m","",""
"an","","","h","",""
"analogous","","","a-n-a-l-g","",""
"analysis","","","a-n-a-l-ss","",""
"analyst ","","","a-n-l-e-s","",""
"ancient","","","a-n-sh-t","",""
"and","","","nt","",""
"and have","","","nt-v","",""
"and that","","","nt-th-a","",""
"and the","","","nt-th","",""
"angle","","","a-ng-l","",""
"Anglo-Saxon","","","a-ng-s-a-s","",""
"angry","","","a-ng-r-e","",""
"anguish","","","a-ng-sh","",""
"aniline","","","a-n-e-l-e-n","",""
"animadversion","","","a-n-e-m-a-v-e-r-sh","",""
"animal","","","a-n-e-m","",""
"animosity","","","a-n-e-m-/-s","",""
"ankle","","","a-nk-l","",""
"annalist","","","a-n-l-e-s","",""
"annals","","","a-n-l-s","",""
"anniversary","","","a-n-e-v","",""
"announce","","","a-n-n-s","",""
"announce ","","","a-n-s","",""
"announced","","","a-n-n-s-t","",""
"announcement","","","a-n-n-s-m","",""
"annoyance","","","a-n-o-e-n-s","",""
"annual","","","a-n-l","",""
"annuals","","","a-n-l-s","",""
"annuity","","","a-n-u-t-u","",""
"annum","","","a-n-u-m","",""
"anomalous","","","a-n-o-m","",""
"anonymity","","","a-n-o-n-/-mt","",""
"anonymous","","","a-n-o-n","",""
"another","","","n-u-th","",""
"answer","","","a-n-s","",""
"ant","","","a-nt","",""
"antarctic","","","a-/-r-k-t-e-k","",""
"antecedent","","","a-/-s-e-tn","",""
"antedate","","","a-/-td","",""
"antediluvian","","","a-/-d-e-l-u-v","",""
"antenna","","","a-/-n-a","",""
"anterior","","","a-/-o-r","",""
"anthracite","","","a-n-th-s-i","",""
"anthropoid","","","a-n-th-p-o-e","",""
"anthropology","","","a-n-th-p-/-o2","",""
"antic","","","a-/-k","",""
"anticipate","","","a-/-s-e-p","",""
"anticipation","","","a-/-s-e-p-sh","",""
"antilogy","","","a-/-l-o-j","",""
"antimony","","","a-/-mn-e","",""
"antique","","","a-/-k","",""
"antiseptic","","","a-/-s-e-p","",""
"antler","","","a-nt-l-r","",""
"Antwerp","","","a-nt-e-r-p","",""
"anxiety","","","a-ng-s-i","",""
"anxious","","","a-nk","",""
"anxiously","","","a-nk-e","",""
"any","","","n-e","",""
"any more","","","n-e-m","",""
"anybody","","","n-e-b-o","",""
"anyhow","","","n-^-h-\-a-u","",""
"anyone","","","n-e-u-n","",""
"anything","","","n-e-\-h","",""
"anyway","","","n-e-u-a","",""
"anywhere","","","n-a-r","",""
"aorta","","","a-o-t-a","",""
"apart","","","a-p-t","",""
"apartment","","","a-p-t-m","",""
"aperture","","","a-p-e2-t-r","",""
"apiary","","","a-p-ea-r-e","",""
"apocalypse","","","a-p-k-l-e-p-s","",""
"apocope","","","a-p-k-o-p-e","",""
"apocrypha","","","a-p-k-r-f-a","",""
"apologetic","","","a-p-/-o-k","",""
"apologize","","","a-p-/-o2-i-s","",""
"apology","","","a-p-/-o2","",""
"apostolic","","","a-p-o-s-t-l-k","",""
"apotheosis","","","a-p-th-e-ss","",""
"appanage","","","a-p-n-j","",""
"apparel","","","a-p-r-l","",""
"apparent","","","a-p-r-nt","",""
"appeal","","","a-p-e-l","",""
"appeals","","","a-p-e-l-s","",""
"appear","","","a-p-r","",""
"appearance","","","a-p-r-n-s","",""
"appeared","","","a-p-r-/-t","",""
"appehend","","","a-p-r-e-nt","",""
"appellate","","","a-p-e-l-a","",""
"append","","","a-jnt","",""
"appendicitis","","","a-jnt-s-i","",""
"apperceive","","","a-p-r-s-e","",""
"appetite","","","a-p-t-i","",""
"apple","","","a-p-l","",""
"apples","","","a-p-l-s","",""
"applicant","","","a-p-l-e-k-nt","",""
"application","","","a-p-l-sh","",""
"application blank","","","a-p-l-<-b","",""
"applied","","","a-p-l-i-d","",""
"apply","","","a-p-l-i","",""
"appoint","","","o-e","",""
"appointee","","","o-e-e","",""
"appointive","","","o-e-v","",""
"appointment","","","o-e-m","",""
"appositive","","","a-p-o-s","",""
"appreciate","","","a-p-r-e-sh","",""
