"word","formal","lazy","keyer","usage","hint"
"adventure","a-v-nt-r","avntr","","3579","adventure = avntr (a-v-nt-r) [4]"
"employment","m-p-l-m","mplm","","3581","employment = mplm (m-p-l-m) [6]"
"passionate","p-a-sh-a-t","pazat","","3583","passionate = pazat (p-a-sh-a-t) [5]"
"jealous","j-e-l-u-s","jelus","","3585","jealous = jelus (j-e-l-u-s) [2]"
"novel","n-o-v","novo","o","3587","novel = novo (n-o-v) [1]"
"conceal","k-s-e-l","kselu","u","3588","conceal = kselu (k-s-e-l) [2]"
"silly","s-e-l-e","sele","","3589","silly = sele (s-e-l-e) [1]"
"Christianity","k-r-e-s-ch-/-n-t","krescnt","","3590","Christianity = krescnt (k-r-e-s-ch-/-n-t) [5]"
"intercourse","n-/-k-r-s","nkrs","","3594","intercourse = nkrs (n-/-k-r-s) [7]"
"badly","b-d-e","bde","","3595","badly = bde (b-d-e) [2]"
"estimated","e-s-tm-a-td","estmatd","","3596","estimated = estmatd (e-s-tm-a-td) [2]"
"responsible","r-s-p","rsp","","3603","responsible = rsp (r-s-p) [8]"
"accompany","a-k-p-e","akpe","","3604","accompany = akpe (a-k-p-e) [5]"
"propose","p-r-p-o","prpo","","3605","propose = prpo (p-r-p-o) [3]"
"someone","s-m-u-n","smun","","3606","someone = smun (s-m-u-n) [3]"
"assume","a-s-m","asm","","3609","assume = asm (a-s-m) [3]"
"cure","k-e-u","kuo","o","3611","cure = kuo (k-e-u) [1]"
"misfortune","m-s-f-tn","msftn","","3612","misfortune = msftn (m-s-f-tn) [5]"
"occupation","o-kp","okp","","3614","occupation = okp (o-kp) [7]"
"pretended","p-r-e-tn-/-t","pretnt","","3616","pretended = pretnt (p-r-e-tn-/-t) [3]"
"autumn","o-tm","otm","","3617","autumn = otm (o-tm) [3]"
"missed","m-e-s-t","mest","","3619","missed = mest (m-e-s-t) [2]"
"privilege","p-r-e-v","prev","","3621","privilege = prev (p-r-e-v) [5]"
"simplicity","s2-e-m-p-/-s2","semps","","3623","simplicity = semps (s2-e-m-p-/-s2) [5]"
"extensive","e-s-tn-s-v","estnsv","","3626","extensive = estnsv (e-s-tn-s-v) [3]"
"consisted","k-ss-/-t","ksst","","3628","consisted = ksst (k-ss-/-t) [5]"
"dearest","d-e2-/-s-t","dest","","3630","dearest = dest (d-e2-/-s-t) [3]"
"scale","s-k-a-l","skal","","3631","scale = skal (s-k-a-l) [1]"
"furnish","f-n-sh","fnz","","3632","furnish = fnz (f-n-sh) [4]"
"vanity","v-/-nt","vnt","","3636","vanity = vnt (v-/-nt) [3]"
"hostile","^-h-\-o-s-t-l","hostl","","3638","hostile = hostl (^-h-\-o-s-t-l) [2]"
"balance","b-a-l","bal","","3639","balance = bal (b-a-l) [4]"
"republic","r-p","rpo","o","3641","republic = rpo (r-p) [5]"
"doubtful","d-a-u-f","dwf","","3644","doubtful = dwf (d-a-u-f) [5]"
"ministers","mn-e-s-t-ye2","mnestye","","3645","ministers = mnestye (mn-e-s-t-ye2) [2]"
"data","d-a-t-a","datao","o","3649","data = datao (d-a-t-a) [-1]"
"responsibility","r-p-/-b","rpb","","3650","responsibility = rpb (r-p-/-b) [11]"
"reminded","r-e-m-i-n-/-t","remint","","3653","reminded = remint (r-e-m-i-n-/-t) [2]"
"burnt","b-e2-n-t","bentu","u","3656","burnt = bentu (b-e2-n-t) [0]"
"submit","s-m-e-t","smet","","3662","submit = smet (s-m-e-t) [2]"
"occasional","k-a-sh-l","kazl","","3664","occasional = kazl (k-a-sh-l) [6]"
"physician","f-e-s-e-sh","fesez","","3667","physician = fesez (f-e-s-e-sh) [4]"
"job","j-o-b","jobo","o","3669","job = jobo (j-o-b) [-1]"
"deadly","td-e","tdeo","o","3670","deadly = tdeo (td-e) [2]"
"introduction","n-/-d-u-k","nduk","","3673","introduction = nduk (n-/-d-u-k) [8]"
"inquiry","n-k-i","nki","","3674","inquiry = nki (n-k-i) [4]"
"independence","nt-p","ntpo","o","3675","independence = ntpo (nt-p) [8]"
"earnestly","e2-n-s-e2","ense","","3681","earnestly = ense (e2-n-s-e2) [5]"
"sincere","s-e-n-s-e","senseo","o","3683","sincere = senseo (s-e-n-s-e) [1]"
"publication","p-b-sh","pbz","","3684","publication = pbz (p-b-sh) [8]"
"fed","f-e-d","fedu","u","3686","fed = fedu (f-e-d) [-1]"
"eastern","e-s-tn","estn","","3687","eastern = estn (e-s-tn) [3]"
"puts","p-s","ps","","3688","puts = ps (p-s) [2]"
"student","s-t-u-tn","stutn","","3689","student = stutn (s-t-u-tn) [2]"
"comparison","k-p-r-s-n","kprsn","","3691","comparison = kprsn (k-p-r-s-n) [5]"
"boots","b-u-t-s","buts","","3692","boots = buts (b-u-t-s) [1]"
"slip","s-l-e-p","slepo","o","3693","slip = slepo (s-l-e-p) [-1]"
"offices","o-ss2","osso","o","3695","offices = osso (o-ss2) [3]"
"indicated","nt-e-k-/-t","ntekt","","3697","indicated = ntekt (nt-e-k-/-t) [4]"
"invitation","n-v-e-t-sh","nvetz","","3698","invitation = nvetz (n-v-e-t-sh) [5]"
