word,formal,lazy,keyer,usage,hint
accountable,a-k-t-b,aktb,,481,accountable = aktb (a-k-t-b)  [7]
accountably,a-k-t-b-e,aktbe,,481,accountably = aktbe (a-k-t-b-e)  [6]
accounted,a-k-t-d,aktd,,481,accounted = aktd (a-k-t-d)  [5]
accounting,a-k-t-\-h,aktg,,481,accounting = aktg (a-k-t-\-h)  [6]
accounts,a-k-t-s,akts,,481,accounts = akts (a-k-t-s)  [4]
positioned,p-o-sh-d,pozd,,556,positioned = pozd (p-o-sh-d)  [6]
positioning,p-o-sh-\-h,pozg,,556,positioning = pozg (p-o-sh-\-h)  [7]
positions,p-o-sh-s,pozs,,556,positions = pozs (p-o-sh-s)  [5]
notebook,n-o-t-b-k,notbk,o,584,notebook = notbk (n-o-t-b-k)  [3]
notebooks,n-o-t-b-k-s,notbks,o,584,notebooks = notbks (n-o-t-b-k-s)  [3]
notes,n-o-t-s,notos,o,584,notes = notos (n-o-t-s)  [0]
noting,n-o-t-\-h,notog,o,584,noting = notog (n-o-t-\-h)  [1]
breaking,br-a-k-\-h,brakg,,981,breaking = brakg (br-a-k-\-h)  [3]
addresses,a-d-r-s,adrs,,1549,addresses = adrs (a-d-r-s)  [5]
addressing,a-d-r-\-h,adrg,,1549,addressing = adrg (a-d-r-\-h)  [6]
interested,^-n-\-s-\-t,nst,,1559,interested = nst (^-n-\-s-\-t)  [7]
interesting,^-n-\-s-\-h,nsg,,1575,interesting = nsg (^-n-\-s-\-h)  [8]
interestingly,^-n-\-s-\-g,nsge,,1575,interestingly = nsge (^-n-\-s-\-g)  [9]
doubled,d-b-d,dbd,,1600,doubled = dbd (d-b-d)  [4]
doubleing,d-b-\-h,dbg,,1600,doubleing = dbg (d-b-\-h)  [6]
doubles,d-b-s,dbs,,1600,doubles = dbs (d-b-s)  [4]
doubling,d-b-\-h,dbg,,1600,doubling = dbg (d-b-\-h)  [5]
relations,r-e-l-a-sh-s,relazs,,1704,relations = relazs (r-e-l-a-sh-s)  [3]
relationship,r-e-l-a-sh-\-sh,relazz,,1704,relationship = relazz (r-e-l-a-sh-\-sh)  [6]
relationships,r-e-l-a-sh-\-sh-s,relazzs,,1704,relationships = relazzs (r-e-l-a-sh-\-sh-s)  [6]
happening,^-h-\-a-p-n-\-h,hapng,,1744,happening = hapng (^-h-\-a-p-n-\-h)  [4]
happenings,^-h-\-a-p-n-s\--h,hapngs,,1744,happenings = hapngs (^-h-\-a-p-n-s\--h)  [4]
connect,k-e-k,keko,o,1770,connect = keko (k-e-k)  [3]
protecting,pr-o-t-e-k-\-h,protekg,,1802,protecting = protekg (pr-o-t-e-k-\-h)  [3]
protective,pr-o-t-e-k-v,protekv,,1802,protective = protekv (pr-o-t-e-k-v)  [3]
protector,pr-o-t-e-k-r,protekr,,1802,protector = protekr (pr-o-t-e-k-r)  [2]
protectorate,pr-o-t-e-k-r-a,protekra,,1802,protectorate = protekra (pr-o-t-e-k-r-a)  [4]
protectorates,pr-o-t-e-k-r-a-s,protekras,,1802,protectorates = protekras (pr-o-t-e-k-r-a-s)  [4]
protectors,pr-o-t-e-k-r-s,protekrs,,1802,protectors = protekrs (pr-o-t-e-k-r-s)  [2]
protects,pr-o-t-e-k-s,proteks,,1802,protects = proteks (pr-o-t-e-k-s)  [1]
coupled,k-u-pl-d,kupld,,1817,coupled = kupld (k-u-pl-d)  [2]
couples,k-u-pl-s,kupls,,1817,couples = kupls (k-u-pl-s)  [2]
coupling,k-u-pl-\-h,kuplg,,1817,coupling = kuplg (k-u-pl-\-h)  [3]
sing,s2-e-ng,segi,i,1922,sing = segi (s2-e-ng)  [0]
connections,k-e-k-sh-s,kekzs,,1927,connections = kekzs (k-e-k-sh-s)  [6]
protections,pr-o-t-e-k-sh-s,protekzs,,1983,protections = protekzs (pr-o-t-e-k-sh-s)  [3]
developments,dfl-m-s,dflms,,2110,developments = dflms (dfl-m-s)  [7]
guideed,g-i-d-d,gidd,,2141,guideed = gidd (g-i-d-d)  [3]
guideing,g-i-d-\-h,gidg,,2141,guideing = gidg (g-i-d-\-h)  [4]
guides,g-i-d-s,gids,,2141,guides = gids (g-i-d-s)  [2]
unrelated,n-r-e-l-a-/-t,nrelat,,2159,unrelated = nrelat (n-r-e-l-a-/-t)  [3]
limitations,l-e-m-sh-s,lemzs,,2368,limitations = lemzs (l-e-m-sh-s)  [6]
maintaining,mn-tn-\-h,mmtng,,2559,maintaining = mmtng (mn-tn-\-h)  [6]
maintains,mn-tn-s,mmtns,,2559,maintains = mmtns (mn-tn-s)  [4]
availability,a-v-a-l-\-b,avalbo,,2653,availability = avalbo (a-v-a-l-\-b)  [6]
editions,e-d-sh-s,edzs,,2816,editions = edzs (e-d-sh-s)  [4]
execution,e-s2-k-sh,xkzo,o,3011,execution = xkzo (e-s2-k-sh)  [5]
executioner,e-s2-k-sh-r,xkzr,,3011,executioner = xkzr (e-s2-k-sh-r)  [7]
executioners,e-s2-k-sh-r-s,xkzrs,,3011,executioners = xkzrs (e-s2-k-sh-r-s)  [7]
executions,e-s2-k-sh-s,xkzso,o,3011,executions = xkzso (e-s2-k-sh-s)  [5]
definitely,df-n-e,dfne,,3128,definitely = dfne (df-n-e)  [6]
seeded,s2-e-d-d,sedd,,3202,seeded = sedd (s2-e-d-d)  [2]
seeding,s2-e-d-\-h,sedg,,3202,seeding = sedg (s2-e-d-\-h)  [3]
seeds,s2-e-d-s,seds,,3202,seeds = seds (s2-e-d-s)  [1]
clerked,k-l-r-d,klrd,,3264,clerked = klrd (k-l-r-d)  [3]
clerking,k-l-r-\-h,klrg,,3264,clerking = klrg (k-l-r-\-h)  [4]
clerks,k-l-r-s,klrs,,3264,clerks = klrs (k-l-r-s)  [2]
detailing,td-a2-\-h,ddag,,3339,detailing = ddag (td-a2-\-h)  [5]
occupations,o-kp-s,okps,,3498,occupations = okps (o-kp-s)  [7]
reserved,r-s2-e-v-d,rsevd,,3764,reserved = rsevd (r-s2-e-v-d)  [3]
reserves,r-s2-e-v-s,rsevs,,3764,reserves = rsevs (r-s2-e-v-s)  [3]
reserving,r-s2-e-v-\-h,rsevg,,3764,reserving = rsevg (r-s2-e-v-\-h)  [4]
reservior,r-s2-e-v-o-r-\-<-n,rsevor,,3764,reservior = rsevor (r-s2-e-v-o-r-\-<-n)  [3]
reserviors,r-s2-e-v-o-r-\-<-n-s,rsevors,,3764,reserviors = rsevors (r-s2-e-v-o-r-\-<-n-s)  [3]
compositions,k-p-o-sh-s,kpozs,,3767,compositions = kpozs (k-p-o-sh-s)  [7]
decomposition,d-e-k-p-o-sh,dkpoz,,3767,decomposition = dkpoz (d-e-k-p-o-sh)  [8]
solutioned,s2-o-l-sh-d,solzd,,3907,solutioned = solzd (s2-o-l-sh-d)  [5]
solutioning,s2-o-l-sh-\-h,solzg,,3907,solutioning = solzg (s2-o-l-sh-\-h)  [6]
solutions,s2-o-l-sh-s,solzs,,3907,solutions = solzs (s2-o-l-sh-s)  [4]
executives,e-s2-e-k-v-s,xekvs,,4030,executives = xekvs (e-s2-e-k-v-s)  [5]
products,pr-o-k-s,proks,o,4118,products = proks (pr-o-k-s)  [3]
editors,e-td-e2-s,eddes,,4123,editors = eddes (e-td-e2-s)  [2]
editorship,e-td-e2-sh,eddez,,4123,editorship = eddez (e-td-e2-sh)  [5]
editorships,e-td-e2-sh-s,eddezs,,4123,editorships = eddezs (e-td-e2-sh-s)  [5]
occupancy,o-kp-n-s-e,okpnse,,4190,occupancy = okpnse (o-kp-n-s-e)  [3]
occupant,o-kp-nt,okpnt,,4190,occupant = okpnt (o-kp-nt)  [3]
occupants,o-kp-nt-s,okpnts,,4190,occupants = okpnts (o-kp-nt-s)  [3]
occupied,o-kp-d,okpd,,4190,occupied = okpd (o-kp-d)  [4]
