word,formal,lazy,keyer,usage,hint
crossed,krost,krost,,1454,crossed = krost (krost)  [2]
suffered,sfEd,sfed,,1458,suffered = sfed (sfEd)  [4]
hart,hAt,hatu,u,1461,hart = hatu (hAt)  [0]
evidently,evdnte,evdnte,,1462,evidently = evdnte (evdnte)  [3]
thomas,tms,tmso,o,1465,thomas = tmso (tms)  [2]
stream,strem,strem,,1467,stream = strem (strem)  [1]
david,davd,davd,,1470,david = davd (davd)  [1]
pointed,oed,yd,,1473,pointed = yd (oed)  [4]
appointed,oed,ydo,o,1474,appointed = ydo (oed)  [5]
las,los,losa,a,1475,las = losa (los)  [-1]
bent,bent,bento,o,1476,bent = bento (bent)  [-1]
aber,abr,abr,,1480,aber = abr (abr)  [1]
apparently,aprnte,aprnte,,1481,apparently = aprnte (aprnte)  [4]
forested,foresd,foresd,,1486,forested = foresd (foresd)  [2]
foresting,foresg,foresg,,1486,foresting = foresg (foresg)  [3]
forests,foress,foress,,1486,forests = foress (foress)  [1]
hast,hast,hasto,o,1487,hast = hasto (hast)  [-1]
removed,rmud,rmud,,1490,removed = rmud (rmud)  [3]
birds,bEds,bedso,o,1494,birds = bedso (bEds)  [0]
distributing,dsBg,dsbgo,o,1497,distributing = dsbgo (dsBg)  [7]
characters,karktrs,karktrs,,1503,characters = karktrs (karktrs)  [3]
redirect,redrk,rdrk,,1505,redirect = rdrk (redrk)  [4]
redirected,redrkd,rdrkd,,1505,redirected = rdrkd (redrkd)  [5]
redirections,redrkz,rdrkz,,1505,redirection = rdrkz (redrkz)  [6]
redirector,redrkr,rdrkr,,1505,redirector = rdrkr (redrkr)  [5]
redirectors,redrkrs,rdrkrs,,1505,redirectors = rdrkrs (redrkrs)  [5]
redirects,redrks,rdrks,,1505,redirects = rdrks (redrks)  [4]
species,spezes,spezes,,1512,species = spezes (spezes)  [1]
putting,ptg,ptg,,1530,putting = ptg (ptg)  [4]
nations,nazs,nazs,,1535,nations = nazs (nazs)  [3]
mir,mE,mei,i,1538,mir = mei (mE)  [0]
satisfied,satd,satd,,1541,satisfied = satd (satd)  [5]
advanced,advanst,advanst,,1545,advanced = advanst (advanst)  [1]
por,por,poru,u,1552,por = poru (por)  [-1]
becomes,bks,bkso,o,1554,becomes = bkso (bks)  [3]
nine,nin,nin,,1558,nine = nin (nin)  [1]
interested,nST,nst,,1559,interested = nst (nST)  [7]
paul,po,po,,1564,paul = po (po)  [2]
rules,rls,rls,,1565,rules = rls (rls)  [2]
carrying,kaeg,kaeg,,1567,carrying = kaeg (kaeg)  [4]
accompanied,akped,akped,,1568,accompanied = akped (akped)  [6]
walking,uokg,uokg,,1573,walking = uokg (uokg)  [3]
richard,rcEd,rced,,1575,richard = rced (rcEd)  [3]
principles,prenspls,prnspls,,1576,principles = prnspls (prenspls)  [3]
og,og,ogo,o,1583,og = ogo (og)  [-1]
proceeded,prsedt,prsedt,,1593,proceeded = prsedt (prsedt)  [3]
spirits,sperts,sprts,,1595,spirits = sprts (sperts)  [2]
extraordinarily,esOdne,xodne,,1601,extraordinarily = xodne (esOdne)  [10]
informed,nfmd,nfmd,,1605,informed = nfmd (nfmd)  [4]
watching,uocg,uocg,,1611,watching = uocg (uocg)  [4]
animals,anmls,anmls,,1612,animals = anmls (anmls)  [2]
som,som,somo,o,1614,som = somo (som)  [-1]
wants,onts,onts,,1616,wants = onts (onts)  [1]
increased,nkrest,nkrest,,1618,increased = nkrest (nkrest)  [3]
lifted,leftd,leftd,,1620,lifted = leftd (leftd)  [1]
receiving,rseg,rseg,,1623,receiving = rseg (rseg)  [5]
nur,nur,nuro,o,1625,nur = nuro (nur)  [-1]
proposed,prposd,prposd,,1629,proposed = prposd (prposd)  [2]
aus,aos,ws,,1633,aus = ws (aos)  [1]
sending,seng,seng,,1637,sending = seng (seng)  [3]
hopes,hops,hops,,1641,hopes = hops (hops)  [1]
waters,uotrs,uotrs,,1643,waters = uotrs (uotrs)  [1]
windows,uendos,uendos,,1656,windows = uendos (uendos)  [1]
quietly,qiete,qiete,,1659,quietly = qiete (qiete)  [2]
don,dn,dni,i,1660,don = dni (dn)  [0]
occurred,okrd,okrd,,1662,occurred = okrd (okrd)  [4]
listened,lesnd,lesnd,,1665,listened = lesnd (lesnd)  [3]
remarked,rmt,rmt,,1670,remarked = rmt (rmt)  [5]
absolutely,abslute,abslute,,1672,absolutely = abslute (abslute)  [3]
finalist,finles,finles,,1673,finalist = finles (finles)  [2]
finals,finls,finls,,1673,finals = finls (finls)  [1]
lo,lo,lou,u,1674,lo = lou (lo)  [-1]
ceased,sest,sest,,1678,ceased = sest (sest)  [2]
philip,felp,felp,,1687,philip = felp (felp)  [2]
forty,fte,fte,,1689,forty = fte (fte)  [2]
calling,kog,kog,,1691,calling = kog (kog)  [4]
moving,mug,mug,,1692,moving = mug (mug)  [3]
favour,fa,fao,o,1694,favour = fao (fa)  [3]
moi,muo,muoo,o,1698,moi = muoo (muo)  [-1]
burning,bEng,beng,,1699,burning = beng (bEng)  [3]
bearing,barg,barg,,1700,bearing = barg (barg)  [3]
fifteen,fftn,fftn,,1701,fifteen = fftn (fftn)  [3]
volunteers,vlnters,vlnters,,1702,volunteers = vlnters (vlnters)  [3]
pounds,pnds,pnds,,1706,pounds = pnds (pnds)  [2]
priest,prest,prst,,1718,priest = prst (prest)  [2]
vessel,vesl,vesl,,1719,vessel = vesl (vesl)  [2]
subjects,sjkts,sjkts,,1720,subjects = sjkts (sjkts)  [3]
companionable,kpanunb,kpanunb,,1721,companionable = kpanunb (kpanunb)  [6]
companions,kpanuns,kpanuns,,1721,companions = kpanuns (kpanuns)  [3]
suffering,sfrg,sfrg,,1728,suffering = sfrg (sfrg)  [5]
breast,brest,brest,,1730,breast = brest (brest)  [1]
ni,ne,nei,i,1731,ni = nei (ne)  [-1]
inhabitants,nhabtnts,nhabtnts,,1736,inhabitants = nhabtnts (nhabtnts)  [3]
numbers,nums,nums,,1742,numbers = nums (nums)  [3]
gods,gods,godso,o,1745,gods = godso (gods)  [-1]
completely,kPe,kpeo,o,1748,completely = kpeo (kPe)  [6]
moments,moms,moms,,1750,moments = moms (moms)  [3]
falling,folg,folg,,1751,falling = folg (folg)  [3]
shoulders,zoldrs,zoldrs,,1756,shoulders = zoldrs (zoldrs)  [3]
whispered,uesprT,uesprt,,1769,whispered = uesprt (uesprT)  [3]
mich,mec,mec,,1771,mich = mec (mec)  [1]
majesty,majste,majste,,1773,majesty = majste (majste)  [1]
italy,te,tei,i,1774,italy = tei (te)  [2]
han,hon,hon,,1775,han = hon (hon)  [0]
pressed,presd,prsd,,1776,pressed = prsd (presd)  [3]
additions,adzs,adzs,,1777,additions = adzs (adzs)  [5]
drawing,drog,drog,,1778,drawing = drog (drog)  [3]
slave,slav,slav,,1785,slave = slav (slav)  [1]
delicately,deleke,deleke,,1797,delicately = deleke (deleke)  [4]
seated,setd,setd,,1799,seated = setd (setd)  [2]
constantly,kstnte,kstnte,,1802,constantly = kstnte (kstnte)  [4]
italian,taln,taln,,1808,italian = taln (taln)  [3]
demanded,dmandt,dmandt,,1813,demanded = dmandt (dmandt)  [2]
satisfactions,satzs,satzs,,1829,satisfactions = satzs (satzs)  [8]
shows,zos,zos,,1830,shows = zos (zos)  [2]
fort,ft,fto,o,1832,fort = fto (ft)  [1]
germany,jEmne,jemne,,1836,germany = jemne (jEmne)  [2]
dying,dig,digo,o,1837,dying = digo (dig)  [1]
fighting,fitg,fitg,,1839,fighting = fitg (fitg)  [4]
dass,das,dasi,i,1846,dass = dasi (das)  [0]
