word,form,qwerd,keyer,chord,usage
Antwerp,a-nt-e-r-p,Anterp,,qaenprt,0
Antler,a-nt-l-r,Antlr,,qalnrt,0
Annum,a-n-u-m,Anum,,qamnu,0
Annuity,a-n-u-t-u,Anutu,,qantu,0
Ancient,a-n-sh-t,Anzt,,qantz,0
Aorta,a-o-t-a,Aota,,qaot,0
Appellate,a-p-e-l-a,Apela,,qaelp,0
Apiary,a-p-ea-r-e,Apere,,qaepr,0
Aperture,a-p-e2-t-r,Apetr,,qaeprt,0
Apotheosis,a-p-th-e-ss,Aphess,,qaehps,0
Apocope,a-p-k-o-p-e,Apkope,,qaekop,0
Apocrypha,a-p-k-r-f-a,Apkrfa,,qafkpr,0
Applicant,a-pl-e-k-nt,Apleknt,,qaeklnpt,0
Appendicitis,a-jnt-s-i,Apndsi,,qadinps,0
Appanage,a-p-n-j,Apnj,,qajnp,0
Apologize,a-p-/-o2-i-s,Apois,,qaiops,0
Apologetic,a-p-/-o-k,Apok,,qakop,0
Appositive,a-p-o-s,Apos,,qaops,0
Apostolic,a-p-o-s2-t-l-k,Apostlk,,qaklopst,0
A posteriori,a-p-o-s2-t-r-r-i,Apostrri,,qaioprst,0
Appropriation bill,a-pr-a-bl,Aprabl,,qablpr,0
Assistant purchasing agent,a-/-pr-ch-/-a,Aprca,,qacpr,0
Appehend,a-pr-e-nt,Aprend,,qadenpr,0
Apprentice,a-pr-e-nt-e-s,Aprentes,,qaenprst,0
Appreciative,a-pr-e-sh-/-v,Aprezv,,qaeprvz,0
Apparel,a-pr-l,Aprl,,qalpr,0
Apron,a-pr-n,Aprn,,qanpr,0
A priori,a-pr-r-i,Aprri,,qaipr,0
Apperceive,a-pr-s-e,Aprse,,qaeprs,0
Approximate,a-pr-x,Aprx,,qaprx,0
Aptitude,a-p-t-e-t,Aptet,,qaept,0
Apartment,a-p-t-m,Aptm,,qampt,0
Aquatic,a-k-/-a,Aqai,i,qaiq,0
Aquarium,a-k-w-a-r-m,Aqarm,,qamqr,0
Acquiesce,a-k-w-e-s,Aqes,,qaeqs,0
Acquisitive,a-k-e-s2-df,Aqestv,,qaeqstv,0
Acquisition,a-k-e-s-sh,Aqesz,,qaeqsz,0
Ankle,a-nk-l,Aql,,qalq,0
Antique,a-/-k,Aqo,o,qaoq,0
Aqueous,a-k-w-e-u-s,Aqus,,qaqsu,0
Whereabouts,a-r-a-b-s,Arabso,o,qabors,0
Arranged,a-r-a-/-t,Arad,,qadr,0
Arraignment,a-r-a-mn,Aramn,,qamnr,0
Aerate,a-r-a-t,Arat,,qart,0
Arbitrate,a-r-b-t-r-a,Arbtra,,qabrt,0
Arbitrament,a-r-b-t-r-a-m,Arbtram,,qabmrt,0
Arbitrage,a-r-b-t-r-j,Arbtrj,,qabjrt,0
Arbutus,a-r-b-t-u-s,Arbtus,,qabrstu,0
Yard,a-rd,Ard,,qadr,0
Arithmetic,a-r-e-th,Areh,,qaehr,0
Aristocrat,a-r-e-s2-t-o-k,Arestok,,qaekorst,0
Heiress,a-r-e-s,Aresu,u,qaersu,0
Arthritis,a-r-th-r-i,Arhri,,qahir,0
Archaic,a-r-k-a-k,Arkak,,qakr,0
Arkansas,a-r-k,Arkoqk,o,qakor,0
Arctic,a-r-k-t-e-k,Arktek,,qaekrt,0
Antarctic,a-/-r-k-t-e-k,Arkteko,o,qaekort,0
Arrogant,a-r-o-g,Arog,,qagor,0
Arrogance,a-r-o-g,Arogo,o,qagor,0
Acetic,a-s-/-a,Asa,,qas,0
Ascetic,a-s-/-a,Asao,o,qaos,0
Has been,a-s-b,Asb,,qabs,0
Has been done,a-s-b-tn,Asbdn,,qabdns,0
Asbestos,a-s-b-e-s,Asbes,,qabes,0
Has done,a-s2-tn,Asdn,,qadns,0
Acerbity,a-s-e-b-t-e,Asebte,,qabest,0
Antecedent,a-/-s2-e-tn,Asedn,,qadens,0
Assemblage,a-s2-e-m-j,Asemj,,qaejms,0
Ascendant,a-s2-e-n-tn,Asendn,,qadens,0
Assignee,a-s2-e-n-e,Asene,,qaens,0
Asininity,a-s2-e-n-/-nt,Asennt,,qaenst,0
Assignor,a-s2-e-n-r,Asenr,,qaenrs,0
Ascent,a-s2-e-nt,Asent,,qaenst,0
Anticipate,a-/-s-e-p,Asep,,qaeps,0
Antiseptic,a-/-s-e-p,Asepo,o,qaeops,0
Anticipation,a-/-s-e-p-sh,Asepz,,qaepsz,0
